,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agent-evaluator,Jupyter Notebook
55,ml-agm,Python
56,ml-aim,Python
57,ml-all-pairs,Python
58,ml-ane-transformers,Python
59,ml-aspanformer,Python
60,ml-aspera,Python
61,ml-atoken,Jupyter Notebook
62,ml-aura,Python
63,ml-autofocusformer,Python
64,ml-autofocusformer-segmentation,Python
65,ml-batchquant,Python
66,ml-behavioral-testing-for-mt,
67,ml-bilevel-train-dist,Python
68,ml-bloop,Python
69,ml-calibration,Jupyter Notebook
70,ml-capsules-inverted-attention-routing,Python
71,ml-cifar-10-faster,Python
72,ml-code-switched-speech-translation,Python
73,ml-codeswitching-translations,
74,ml-collegial-ensembles,Python
75,ml-comotion,Python
76,ml-compress-and-compare,Python
77,ml-core,Python
78,ml-covid-mobility,R
79,ml-cread,Python
80,ml-cross-entropy,Python
81,ml-cubifyanything,Python
82,ml-cvnets,Python
83,ml-cvpr2019-swd,Python
84,ml-dab,Python
85,ml-data-parameters,Python
86,ml-dataset-decomposition,Python
87,ml-delphi,
88,ml-depth-pro,Python
89,ml-destseg,Python
90,ml-diffucoder,Python
91,ml-diffusion-alignment-gflownet,Python
92,ml-direct2.5,Python
93,ml-divide-or-conquer,Python
94,ml-dms-dataset,Python
95,ml-dprecs,Jupyter Notebook
96,ml-dr,Python
97,ml-duet,Python
98,ml-egodex,Python
99,ml-encqa,Python
100,ml-entity-deduction-arena,Python
101,ml-entropy-reconstruction,Python
102,ml-envmapnet,Python
103,ml-epicache,Python
104,ml-equivariant-neural-rendering,Jupyter Notebook
105,ml-facelit,Python
106,ml-famae,Python
107,ml-fastvit,Python
108,ml-fastvlm,Python
109,ml-fct,Python
110,ml-ferret,Python
111,ml-finerecon,Python
112,ml-flair,Jupyter Notebook
113,ml-flextok,Jupyter Notebook
114,ml-gaudi,
115,ml-gbc,Python
116,ml-gendered-translation,Ruby
117,ml-gie-bench,Python
118,ml-gmpi,Python
119,ml-gsm-symbolic,
120,ml-gsn,Python
121,ml-hd-gist,Python
122,ml-heart-rate-models,Python
123,ml-hierarchical-confusion-matrix,TypeScript
124,ml-hugs,Python
125,ml-hypercloning,Python
126,ml-hypersim,Python
127,ml-icr2,Python
128,ml-inrflow,Python
129,ml-interactive-data-augmentation,Svelte
130,ml-internal-llms-instruction-following,Python
131,ml-interspeech2022-phi_rtn,
132,ml-isqoe,Python
133,ml-jointnet,Python
134,ml-key-retrieval-code-tasks,Python
135,ml-keyframer,JavaScript
136,ml-kg-mt,Python
137,ml-kge,Python
138,ml-knowledge-conflicts,Python
139,ml-kpconvx,Python
140,ml-l3m,Python
141,ml-lineas,Python
142,ml-live-pose,
143,ml-llarp,Python
144,ml-loop,Python
145,ml-lucid-datagen,Python
146,ml-mad-bench,Jupyter Notebook
147,ml-matrix3d,Python
148,ml-mcf,Python
149,ml-mdm,Python
150,ml-mgie,Python
151,ml-mia-bench,Jupyter Notebook
152,ml-MixupMP,Python
153,ml-mkqa,Python
154,ml-mobileclip,Python
155,ml-mobileclip-dr,Python
156,ml-mobileone,Swift
157,ml-mofi,Python
158,ml-multiple-futures-prediction,Python
159,ml-mycelium,JavaScript
160,ml-ncg,Python
161,ml-negative-sampling,Python
162,ml-neilf,Python
163,ml-neilfpp,Python
164,ml-neuman,Python
165,ml-no-token-left-behind,Jupyter Notebook
166,ml-np-rasp,Python
167,ml-nvas3d,Python
168,ml-ogen,Python
169,ml-persona-red-teaming,Python
170,ml-pfl4asr,Python
171,ml-pgdvs,Python
172,ml-planner,Python
173,ml-pointconvformer,Python
174,ml-pointersect,Python
175,ml-policy-projector,Python
176,ml-ppg-age-analysis,Python
177,ml-predict,Python
178,ml-primex,
179,ml-probabilistic-attention,Python
180,ml-projunit,Python
181,ml-pytod,Python
182,ml-qrecc,Python
183,ml-quant,Python
184,ml-recurrent-drafter,Python
185,ml-reed,Python
186,ml-reversal-blessing,Python
187,ml-rlgrad,Python
